epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,262.331,0.39459,0.303,0.8693,0.72061,0.82749,0.8288,0.58679,1.28558,1.24568,1.65154,0.000180321,0.000180321,0.000180321
153,263.987,0.41674,0.31976,0.85623,0.72061,0.82749,0.8288,0.58679,1.28558,1.24568,1.65154,0.000176786,0.000176786,0.000176786
154,265.647,0.38556,0.28294,0.86213,0.7156,0.82946,0.83012,0.5852,1.28494,1.257,1.65107,0.000173252,0.000173252,0.000173252
155,267.249,0.39108,0.28698,0.83381,0.71799,0.81908,0.83422,0.58542,1.27739,1.25687,1.64207,0.000169718,0.000169718,0.000169718
156,268.899,0.36683,0.29615,0.87,0.71744,0.8127,0.84609,0.59496,1.27065,1.25125,1.62291,0.000166183,0.000166183,0.000166183
157,270.514,0.34943,0.26937,0.844,0.71744,0.8127,0.84609,0.59496,1.27065,1.25125,1.62291,0.000162649,0.000162649,0.000162649
158,272.164,0.38761,0.30529,0.86462,0.71584,0.81092,0.84818,0.60527,1.2632,1.26808,1.61406,0.000159115,0.000159115,0.000159115
159,273.794,0.3705,0.28179,0.83459,0.7248,0.80286,0.8518,0.60675,1.26727,1.31109,1.61213,0.000155581,0.000155581,0.000155581
160,275.563,0.38077,0.28783,0.84217,0.72891,0.81008,0.84376,0.60072,1.25409,1.30479,1.60363,0.000152046,0.000152046,0.000152046
161,277.203,0.38683,0.29489,0.86294,0.72891,0.81008,0.84376,0.60072,1.25409,1.30479,1.60363,0.000148512,0.000148512,0.000148512
162,278.855,0.37819,0.30135,0.88684,0.73259,0.80988,0.84563,0.60112,1.23974,1.32455,1.59522,0.000144978,0.000144978,0.000144978
163,280.483,0.36267,0.28411,0.84176,0.74148,0.80661,0.84915,0.60365,1.22395,1.30851,1.58572,0.000141443,0.000141443,0.000141443
164,282.207,0.33815,0.26385,0.83104,0.74846,0.80378,0.85629,0.60784,1.23435,1.3379,1.58529,0.000137909,0.000137909,0.000137909
165,283.829,0.36667,0.28116,0.83579,0.74846,0.80378,0.85629,0.60784,1.23435,1.3379,1.58529,0.000134375,0.000134375,0.000134375
166,286.048,0.36148,0.29107,0.87782,0.75428,0.79894,0.82443,0.5851,1.22978,1.30739,1.58333,0.000130841,0.000130841,0.000130841
